Feature,Importance
cnt_lag_1h,0.4602251595381827
cnt_lag_24h,0.1764860315916409
cnt_lag_168h,0.13668012604158034
hour_cos,0.05140633543460144
cnt_rolling_mean_3h,0.03975460038628459
hour_sin,0.027656088287926924
cnt_lag_2h,0.01770394938168302
cnt_lag_3h,0.012698008441624295
cnt_rolling_max_24h,0.011127259639010763
cnt_rolling_mean_6h,0.008835609094573794
cnt_rolling_mean_12h,0.008389431435142944
cnt_rolling_mean_24h,0.005477231126961695
cnt_rolling_std_24h,0.005294715299687729
dayofweek,0.005202885918239191
weather_rain,0.003839097517549697
cnt_lag_1d_mean,0.00339821557176199
humidity,0.002970902064871593
humidity_squared,0.002937031440062023
feel_temp,0.0027780737238952747
temp_squared,0.0022384425911253386
temp_comfort,0.002150887666763226
temp,0.00204384419130605
temp_feel_diff,0.0018799115014166696
windspeed,0.0017616659595384213
cnt_rolling_min_24h,0.0017240842411003015
month_sin,0.001230352558858781
weather_clear,0.0009977101907443502
month_cos,0.0009905604041782975
is_weekend,0.0006078381765662243
season_spring,0.0003145380911933461
weather_misty,0.00027848285186682
season_summer,0.00025796571221060237
is_high_humidity,0.00025121732128102444
season_winter,0.00017979733304958383
season_fall,0.00014489170335997022
is_low_humidity,8.664875468907664e-05
weather_heavy_rain,4.0881547105685006e-07
hour_magnitude,0.0
is_holiday,0.0
workingday,0.0
